name,longitude,latitude,prov,date,key
"Haplospiza unicolor Cabanis, 1851",-42.49676,-22.310295,gbif,1/21/2023,4667566507
"Haplospiza unicolor Cabanis, 1851",-47.142414,-23.154007,gbif,1/21/2023,4767781390
"Haplospiza unicolor Cabanis, 1851",-48.81067,-27.73223,gbif,1/21/2023,4696389294
"Haplospiza unicolor Cabanis, 1851",-40.60637,-19.93898,gbif,1/16/2023,4767129374
"Haplospiza unicolor Cabanis, 1851",-44.756813,-22.373522,gbif,1/22/2023,4678755210
"Haplospiza unicolor Cabanis, 1851",-42.985317,-22.430807,gbif,1/22/2023,4688678014
"Haplospiza unicolor Cabanis, 1851",-42.993916,-22.456148,gbif,1/17/2023,4694291541
"Haplospiza unicolor Cabanis, 1851",-42.993916,-22.456148,gbif,1/17/2023,4770521707
"Haplospiza unicolor Cabanis, 1851",-47.199486,-23.938786,gbif,1/23/2023,4765832457
"Haplospiza unicolor Cabanis, 1851",-47.199486,-23.938786,gbif,1/23/2023,4609503213
"Haplospiza unicolor Cabanis, 1851",-42.437912,-22.31307,gbif,1/23/2023,4770776161
"Haplospiza unicolor Cabanis, 1851",-44.833633,-23.172249,gbif,1/24/2023,4697889325
"Haplospiza unicolor Cabanis, 1851",-44.833633,-23.172249,gbif,1/24/2023,4687794336
"Haplospiza unicolor Cabanis, 1851",-42.985317,-22.430807,gbif,1/22/2023,4609713467
"Haplospiza unicolor Cabanis, 1851",-42.437912,-22.31307,gbif,1/23/2023,4687886985
"Haplospiza unicolor Cabanis, 1851",-42.50026,-22.30881,gbif,1/25/2023,4664409385
"Haplospiza unicolor Cabanis, 1851",-42.95081,-22.44776,gbif,1/27/2023,4659171419
"Haplospiza unicolor Cabanis, 1851",-42.95081,-22.44776,gbif,1/27/2023,4686621584
"Haplospiza unicolor Cabanis, 1851",-45.841988,-23.589546,gbif,1/28/2023,4690472147
"Haplospiza unicolor Cabanis, 1851",-42.49676,-22.310295,gbif,1/21/2023,4664055277
"Haplospiza unicolor Cabanis, 1851",-42.49676,-22.310295,gbif,1/18/2023,4672356392
"Haplospiza unicolor Cabanis, 1851",-42.49221,-22.37579,gbif,1/16/2023,4699350280
"Haplospiza unicolor Cabanis, 1851",-45.84895,-23.53578,gbif,1/28/2023,4671349762
"Haplospiza unicolor Cabanis, 1851",-42.99081,-22.45688,gbif,1/24/2023,4698869866
"Haplospiza unicolor Cabanis, 1851",-48.606834,-25.051165,gbif,1/28/2023,4687722272
"Haplospiza unicolor Cabanis, 1851",-48.606834,-25.051165,gbif,1/28/2023,4761162157
"Haplospiza unicolor Cabanis, 1851",-42.979267,-22.523293,gbif,1/2/2023,4781569402
"Haplospiza unicolor Cabanis, 1851",-46.388626,-23.977064,gbif,1/23/2023,4615042662
"Haplospiza unicolor Cabanis, 1851",-46.315784,-23.784506,gbif,1/30/2023,4724797586
"Haplospiza unicolor Cabanis, 1851",-51.090958,-27.023197,gbif,1/23/2023,4707274304
"Haplospiza unicolor Cabanis, 1851",-46.315784,-23.784506,gbif,1/30/2023,4762435693
"Haplospiza unicolor Cabanis, 1851",-46.388626,-23.977064,gbif,1/23/2023,4840606240
"Haplospiza unicolor Cabanis, 1851",-45.847203,-23.592662,gbif,2/4/2023,4028687025
"Haplospiza unicolor Cabanis, 1851",-42.95081,-22.44776,gbif,2/2/2023,4760143320
"Haplospiza unicolor Cabanis, 1851",-46.265564,-23.396435,gbif,2/2/2023,4706988684
"Haplospiza unicolor Cabanis, 1851",-47.986244,-24.049623,gbif,2/2/2023,4619088180
"Haplospiza unicolor Cabanis, 1851",-45.225647,-22.719656,gbif,2/4/2023,4637387457
"Haplospiza unicolor Cabanis, 1851",-45.8244,-23.584932,gbif,2/4/2023,4694220650
"Haplospiza unicolor Cabanis, 1851",-43.1401,-22.524319,gbif,2/5/2023,4674335503
"Haplospiza unicolor Cabanis, 1851",-43.158203,-22.534203,gbif,2/4/2023,4700573582
"Haplospiza unicolor Cabanis, 1851",-45.8244,-23.584932,gbif,2/5/2023,4632579194
"Haplospiza unicolor Cabanis, 1851",-47.424953,-23.88154,gbif,2/5/2023,4659364845
"Haplospiza unicolor Cabanis, 1851",-46.457584,-23.810413,gbif,2/5/2023,4689118841
"Haplospiza unicolor Cabanis, 1851",-47.353947,-24.026968,gbif,2/6/2023,4684301863
"Haplospiza unicolor Cabanis, 1851",-47.353947,-24.026968,gbif,2/6/2023,4646978333
"Haplospiza unicolor Cabanis, 1851",-47.353947,-24.026968,gbif,2/6/2023,4703099086
"Haplospiza unicolor Cabanis, 1851",-50.190044,-27.020765,gbif,2/9/2023,4706780104
"Haplospiza unicolor Cabanis, 1851",-42.971954,-22.416248,gbif,2/9/2023,4783261715
"Haplospiza unicolor Cabanis, 1851",-44.804768,-23.203852,gbif,2/10/2023,4695186969
"Haplospiza unicolor Cabanis, 1851",-44.80341,-23.204039,gbif,2/10/2023,4643875393
"Haplospiza unicolor Cabanis, 1851",-53.981667,-26.520718,gbif,2/11/2023,4609718361
"Haplospiza unicolor Cabanis, 1851",-53.981667,-26.520718,gbif,2/11/2023,4661348566
"Haplospiza unicolor Cabanis, 1851",-47.992386,-24.040798,gbif,2/11/2023,4774718652
